no,type,data1,case1,case2,case3,case4,img
1342,18,"응고 장애(Disorders of coagulation)","빈혈, 출혈 경향성","폰빌레브란트병, 파종혈관내응고, 혈우병",,,18_236.jpg
1344,18,"이소성 골화증(Heterotopic Ossification)","환부 통증, 관절 운동성 감소, 환부 부종, 열감","완전 척수 손상, 외상에 의한 척수 손상",정형외과,"이소성 골형성,이소성 골화",18_238.jpg
1346,18,"이염성 백질이영양증 (Metachromatic leukodystrophy)",,"테이-삭스병 , 니만-피크병, 고셔병, 파브리병","의학유전학센터, 소아신경과, 의학유전학과",이염백질이영양증,18_240.jpg
1347,18,익수(Submersion),"구토, 의식 변화, 무산소 발작, 기침, 부정맥, 저체온","부정맥, 저체온증",응급의학과,"near-drowning,침수",18_241.jpg
1350,18,인플루엔자(Influenza),"근육통, 구토, 오한, 두통, 목의 통증, 열, 설사","만성 폐쇄성 폐질환, 폐렴, 천식",노년내과,독감,18_244.jpg
1351,18,"일산화탄소 중독(Carbon monoxide-poisoning)","구토, 어지러움, 오심, 의식 저하, 호흡곤란",구토,응급의학과,"번개탄중독,연탄가스중독,연탄중독,일산화탄소중독증",18_245.jpg
1353,18,임파선염(Lymphadenitis),"환부 통증, 환부 부종, 열, 열감, 고름, 피부궤양, 발적","림프부종, 결핵성 임파선염",이비인후과,,18_247.jpg
1355,18,"자가면역성 갑상선염(Autoimmune thyroiditis)","피로감, 체중증가, 기운없음, 변비","갑상선기능항진증, 점액수종 혼수, 갑상선기능저하증, 서맥","내분비내과, 신생아과",,18_249.jpg
1357,18,자간증(Eclampsia),"시력 감소, 전신 부종, 고혈압, 뇌전증 발작","임신성 고혈압, 자간전증, 임신성 당뇨병",산부인과,,18_251.jpg
1358,18,"잠수병(Diver's disease)","무감각, 관절통, 피부 긴장도 저하, 어지러움, 저림, 가슴 통증","동맥색전증 및 혈전증",응급의학과,"bends,caisson disease,decompression sickness,감압병,벤즈,잠수병통증,잠수부병,잠함병,잠합병,케이슨병",18_252.jpg
1359,18,"장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli)","복부경련, 혈변, 설사, 복부 통증, 요독증, 혈소판감소 , 빈혈","대장균 감염, 용혈성 요독 증후군","감염내과, 소화기내과","대장균 O157 감염증",18_253.jpg
1360,18,"재생불량빈혈(Aplastic anemia)","구강궤양, 반복되는 폐렴, 호흡곤란, 피부 긴장도 저하, 창백, 생식기 출혈, 출혈 경향성, 열, 빈혈, 멍, 어지러움, 운동 시 호흡곤란, 점상 출혈, 잦은 상기도 감염","판코니범혈구감소증, 순수적혈구무형성, 골수로성 빈혈, 골수형성이상증후군","혈액내과, 소아청소년종양혈액과",재생불량빈혈,18_254.jpg
1361,18,저나트륨혈증(Hyponatremia),"뇌전증 발작 , 오심, 흥분, 두통, 의식 변화, 구토","울혈성 심부전, 신부전, 요붕증","내분비내과, 신장내과, 노년내과",저마그네슘증,18_255.jpg
1362,18,저마그네슘혈증(Hypomagnesemia),"의식 변화, 어지러움, 근육강직, 근육경련, 안구진탕, 심실 부정맥","알코올 의존성, 부갑상선기능항진증, 부갑상선기능저하증, 급성 신부전, 크론병",신장내과,저마그네슘증,18_256.jpg
1363,18,"저신장(Short stature)","표준 신장의 3%이하","성장호르몬 결핍증","소아내분비대사과, 소아정형외과","Nanocormia,성장장애,저신장증",18_257.jpg
1366,18,저칼륨혈증(Hypokalemia),"저혈압, 피부 긴장도 저하, 마비, 부정맥, 근육통","쿠싱 증후군, 대사성 알칼리증, 횡문근융해증, 당뇨병성 케톤산증 , 구토, 섭식 장애","내분비내과, 신장내과, 소아신장과","hypopotassemia,저칼륨증",18_260.jpg
1367,18,저칼슘혈증(Hypocalcemia),"근육경련, 심정지, 무호흡, 감각 이상","저마그네슘혈증, 구루병, 부갑상선기능저하증","내분비내과, 신생아과, 소아내분비대사과",,18_261.jpg
1370,18,"전신 경화증(Systemic Sclerosis)","레이노이드 현상, 소화불량, 관절염, 주먹을 쥐기 힘듬, 피부경화","레이노병, 폐성 고혈압, 고혈압","호흡기내과, 피부과, 류마티스내과","전신성 경화증",18_264.jpg
1371,18,"전신 홍반성 낭창(Systemic lupus erythematosus)","열, 관절통, 피로감, 두통, 체중감소, 구강궤양, 관절염, 얼굴의 나비모양 홍반, 우울, 발진, 광과민성","레이노병, 관절염, 용혈빈혈, 혈소판 이상, 골다공증","신장내과, 소아신장과, 류마티스내과","낭창,루퍼스,루푸스,루프스,전신성 에리테마토우시스,전신성 홍반성 낭창,전신성 홍반성 루푸스,홍반성 낭창,홍반성 루푸스,홍반성 루프스,SLE",18_265.jpg
1373,18,점액낭염(Bursitis),"열, 관절 운동성 감소, 환부 통증, 환부 부종","일과성 고관절 활액막염",정형외과,"윤활낭염,활액낭염",18_267.jpg
1374,18,"점액수종 혼수(Myxoedema coma)","전신 부종, 저체온, 기억장애, 권태감, 의식 저하, 서맥, 저혈압",갑상선기능저하증,내분비내과,"점액수종성 혼수",18_268.jpg
1376,18,조로증(progeria),"체모감소, 모발 탈색, 얼굴모양변화, 발육부전",노화,"의학유전학센터, 의학유전학과",,18_270.jpg
1377,18,"조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection)","목의 통증, 열, 근육통, 기침, 오한","파라인플루엔자 감염증, 인플루엔자, 웨스트나일열, 바이러스성 뇌수막염",감염내과,"조류 독감,bird flu,avian flu,bird flu,highly pathogenic avian influenza,HPAI",18_271.jpg
1380,18,"중동 호흡기 증후군(MERS)(Middle East Respiratory Syndrome)","기침, 열, 호흡곤란, 급성 신부전","급성 신부전, 폐렴간균에 의한 폐렴 , 중증 급성 호흡기 증후군, 폐렴, 신부전",호흡기내과,"신종 코로나 바이러스 감염증,메르스바이러스 감염증,메르스 코로나 바이러스 감염증",18_274.jpg
1381,18,"중쇄 아실코에이 탈수소효소 결핍증(Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency(MCAD deficiency))",,"카르니틴 팔미토일 전환효소 결핍증 2형","의학유전학센터, 의학유전학과","MCAD deficiency,MCAD 결핍,MCAD 결핍증",18_275.jpg
1382,18,"중증 근무력증(Myasthenia gravis)","복시, 안검하수, 근력 약화, 삼키기 곤란 , 발음 이상","듀시엔형 근이영양증 , 베커형 근이영양증, 척수근육위축",신경과,"근무력증,중근무력증",18_276.jpg
1383,18,"중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS))","혈소판감소 , 설사, 두통, 복부 통증, 식욕부진, 열, 피로감, 구토","렙토스피라증, 털진드기병, 신증후성 출혈열",감염내과,,18_277.jpg
1384,18,"증상이 없는 HIV 감염(HIV infection, asymptomatic)",무증상,"성병, 면역결핍증, 후천성 면역결핍증",감염내과,"HIV,HIV바이러스,인간면역결핍바이러스,임상적 잠복기 AIDS",18_278.jpg
1385,18,"지루성 피부염(Seborrheric dermatitis)","인설, 피부소양감, 발적, 딱지, 피부 각질","탈락 피부염, 외이도염, 곰팡이 감염",피부과,"두피지루성피부염,지루성 두피,지루성 피부,지루피부염",18_279.jpg
1386,18,지방종(Lipoma),"환부 통증, 덩어리가 만져짐, 무증상","피부의 양성 종양","성형외과, 피부과","양성지방종성 신생물",18_280.jpg
1389,18,"지카 바이러스 감염증(Zikavirus Infection)","눈의 충혈, 발진, 열, 관절통","황열, 말라리아, 수두증, 길랑-바레 증후군, 웨스트나일열, 뎅기열, 치쿤구니야열",감염내과,소두증,18_283.jpg
1391,18,"처그 스트라우스 증후군(Churg strauss syndrome)","무감각, 관절통, 천명음, 열, 기침, 호흡곤란, 점상 출혈, 체중감소, 피로감, 감기 증상, 근육통, 식욕부진, 저림, 천식","알레르기 비염, 호산구 증가증, 과다호산구증가증, 천식, 혈관염, 상기도 감염",알레르기내과,"처그 스트라우스 혈관염,처그스트라우스,처그스트라우스씨 병,폐 침습성 다발동맥염",18_285.jpg
1393,18,"척수근육위축(Spinal muscular atrophy)","보행이상, 하지의 근력약화, 근골격계 이상, 근긴장의 이상","베커형 근이영양증, 듀시엔형 근이영양증","신경과, 신경외과, 의학유전학센터, 의학유전학과","척수성근위축,척수성근위축증",18_287.jpg
1395,18,천포창(Pemphigus),"인설, 미란, 물집, 딱지",피부염,피부과,"물집증,펨피구스",18_289.jpg
1396,18,"철결핍빈혈(Iron deficiency anemia)","피부 긴장도 저하, 창백, 스푼형 손톱, 빈혈, 빈맥, 심부전, 구각염, 어지러움, 설염, 호흡곤란",재생불량빈혈,"혈액내과, 소아청소년종양혈액과","철 결핍 빈혈,철 부족성 빈혈,철 결핍성 빈혈",18_290.jpg
1397,18,"춘곤증(spring fatigue)","식욕부진, 피로감, 어지러움, 불면증, 기운없음, 낮 시간대의 졸음, 소화불량, 저림, 두통","만성 피로 증후군, 기면증, 소화불량",가정의학과,,18_291.jpg
1399,18,"카르니틴 팔미토일 전환효소 결핍증 2형(Carnitine Palmitoyltransferase II Deficiency)","저혈당, 근육강직, 간부전, 근육통","중쇄 아실코에이 탈수소효소 결핍증","의학유전학센터, 소아내분비대사과, 의학유전학과","CPT 2 deficiency,CPT II deficiency",18_293.jpg
1400,18,"카르시노이드 증후군(Carcinoid syndrome)","성욕감퇴, 청색증, 발진, 발기부전, 안면홍조, 천식, 설사, 복부 통증, 열, 말단비대","심장 판막 질환, 말단비대증, 직장 유암종, 위 유암종","종양내과, 호흡기내과",유암종증후군,18_294.jpg
1401,18,"캄필로박터 감염증(Campylobacteriosis)","두통, 설사, 근육통, 열, 혈변, 복부 통증","박테리아성 뇌수막염, 길랑-바레 증후군",감염내과,"캄필로박터,캄필로박터 식중독,캄필로박터 위장관 감염병",18_295.jpg
1402,18,"캐슬만병(Castlemans disease)","열, 무증상, 빈혈, 림프 부종, 단백뇨, 권태감, 전신 부종","림프종, 용혈빈혈, 카포시 육종, 헤르페스 바이러스 감염","종양내과, 혈액내과","림프선 과오종,여포성 림프 결절종,캐슬만씨병,혈관 여포성 종격림프선 증식증,혈관성 림프 과오종",18_296.jpg
1404,18,코로나-19(COVID-19),"피로감, 호흡곤란, 기침, 가래, 근육통, 열, 두통, 목의 통증","중동 호흡기 증후군(MERS), 중증 급성 호흡기 증후군, 인플루엔자, 폐렴, 상기도 감염","감염내과, 호흡기내과","신종 코로나바이러스 폐렴,우한 폐렴,2019-nCoV,2019-Novel Coronavirus,신종 코로나 바이러스 감염증",18_298.jpg
1405,18,콜레라(Cholera),"탈수, 열, 설사, 구토, 오심",신부전,감염내과,,18_299.jpg
1407,18,"큐열(Q Fever)","기침, 권태감, 두통, 근육통, 오한, 열, 간비대, 목의 통증, 구토, 설사, 발진","야토병, 조류 인플루엔자(AI) 인체감염증, 라임병, 브루셀라증, 털진드기병",감염내과,"Q열,Query fever",18_301.jpg
1408,18,"크로이츠펠트-야콥병(Creutzfeldt-Jakob disease)","근육경련, 방향감각 상실, 운동장애, 건망증, 인지장애",치매,"신경과, 소아신경과","CJD,vCJD,변종 크로이펠트-야콥병,야콥병,야곱병",18_302.jpg
1410,18,"클라인펠터 증후군 (Klinefelter syndrome)",,"터너 증후군 , XXX 증후군, XYY 증후군","의학유전학센터, 소아내분비대사과, 의학유전학과",,18_304.jpg
1412,18,"터너 증후군 (Turner syndrome)","얼굴형태의 이상, 중이염소견, 림프 부종, 표준 신장의 3%이하, 고혈압, 당뇨, 골다공증","XYY 증후군, 클라인펠터 증후군 , XXX 증후군","의학유전학센터, 소아내분비대사과, 의학유전학과",,18_306.jpg
1413,18,"털진드기병(Scrub typhus)","경부 림프절병증, 온몸이 떨림, 딱지, 물집, 발진, 오한, 열, 두통","신증후성 출혈열, 큐열, 렙토스피라증, 라임병, 야토병",감염내과,"tsutsugamushi disease,덤블티푸스,쓰쓰가무시,쓰쓰가무시병,쓰쓰가무시증,진드기 티푸스,쯔쯔가무시,쯔쯔가무시증,쯔쯔가무시병",18_307.jpg
1414,18,"테이-삭스병 (Tay-Sachs disease)","운동장애, 뇌전증 발작 , 청각과민, 떨림(진전), 근긴장의 이상","파브리병, 이염성 백질이영양증 , 니만-피크병, 고셔병","의학유전학센터, 의학유전학과",흑내장가족성백치,18_308.jpg
1415,18,톡소플라즈마증(Toxoplasmosis),"객혈, 호흡곤란, 눈의 통증, 기침, 눈부심","선모충증, 후천성 면역결핍증, 원충성 질환, 요충증, 면역결핍증",감염내과,"주혈 원충병,톡소포자충,톡소포자충증,톡소플라스마,톡소플라스마증,톡소플라즈마",18_309.jpg
1416,18,"통풍성 관절염(gouty arthritis)","관절통, 관절염, 환부 통증, 운동장애",통풍,류마티스내과,"과요산성 관절염,urarthritis",18_310.jpg
1418,18,"파브리병(Fabry disease)","검붉은 색 피부 , 심혈관계 증상, 각막 이상, 감각 이상, 복부 통증, 말초 통증","니만-피크병, 이염성 백질이영양증 , 고셔병, 테이-삭스병","의학유전학센터, 소아내분비대사과, 의학유전학과",미만성구간혈관각화종,18_312.jpg
1419,18,파상풍(Tetanus),"후궁반장, 근육강직, 두통, 구토, 비웃는 듯한 표정, 호흡곤란, 오심, 삼키기 곤란",렙토스피라증,감염내과,,18_313.jpg
1422,18,"파타우 증후군(Patau syndrome)","심혈관계 증상, 얼굴형태의 이상, 입술, 입천장의 기형, 정신 지체, 다지증","에드워드 증후군 , 다운 증후군","의학유전학센터, 의학유전학과",,18_316.jpg
1424,18,"패혈성 관절염(Septic arthtritis)","관절통, 열감, 열, 관절 운동성 감소, 환부 부종, 오한, 관절염","통풍, 골관절염, 류마티스 관절염, 전신 홍반성 낭창, 관절염","감염내과, 정형외과, 소아정형외과","세균성 관절염",18_318.jpg
1426,18,페닐케톤뇨증(Phenylketonuria),"습진, 경련, 구토, 정신 지체","호모시스틴뇨증, 단풍당밀뇨증","의학유전학센터, 소아내분비대사과, 의학유전학과","pku,방향성 아미노산 대사장애,페닐알라닌 수산화효소 결핍,페닐알라닌증",18_320.jpg
1428,18,"폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states)","성욕감퇴, 가슴 두근거림, 수면장애, 피부 긴장도 저하, 불안, 안면홍조, 우울, 골다공증, 발한","골다공증, 고지혈증","내분비내과, 산부인과","갱년기,폐경기",18_322.jpg
1429,18,폐소공포증(Claustrophobia),"불안, 좁은 공간에서의 불안감","불안 장애, 광장공포증, 사회공포증",정신건강의학과,,18_323.jpg
1430,18,"포도상구균 감염(Staphylococcus aureus infection)","발진, 열, 환부 통증","병원 감염성 폐렴","감염내과, 소화기내과, 호흡기내과","Staphylococcus,포도상구균,황색포도상구균",18_324.jpg
1431,18,포르피린증(Porphyria),"창백, 오심, 빈혈, 잇몸 위축, 광과민성, 구토","용혈빈혈, 간경화, 당뇨병",혈액내과,"포르피리아,포르피리아증",18_325.jpg
1432,18,"폰빌레브란트병(Von Willebrand disease)","출혈 경향성, 비출혈, 월경과다, 점상 출혈",혈우병,혈액내과,"Pseudohemophilia B,vWD,vascular hemophilia,가성혈우병,폰빌레브란트,혈관혈우병",18_326.jpg
1433,18,"폼페병(Pompe disease)","심근손상, 호흡곤란, 근력 약화","당원 축적병, 갈락토오스혈증","의학유전학센터, 소아내분비대사과, 의학유전학과","GSD II,Glycogen storage disease type II,글리코겐 축적 질환 Ⅱ,당원병Ⅱ형",18_327.jpg
1434,18,"표피낭종(Epidermal cyst)","압통, 덩어리가 만져짐, 발적, 노란 이물질","피부의 양성 종양, 기저세포 암종, 지방종, 여드름","성형외과, 피부과",피하낭종,18_328.jpg
1435,18,"풍진(Rubella(German measles))","권태감, 두통, 열, 눈의 충혈, 림프 부종, 발진",홍역,감염내과,"3일 홍역,독일홍역",18_329.jpg
1437,18,"프로피온산증(Propionic acidemia)","식욕부진, 산혈증, 출혈 경향성, 점상 출혈, 수유 곤란, 구토, 탈수","레쉬-니한 증후군 , 메틸말론산증","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과","프로피온산 혈증",18_331.jpg
1439,18,피부근육염(Dermatopolymyositis),"환부 부종, 호흡곤란, 발진, 열, 삼키기 곤란 , 관절통, 피부궤양, 피부색 변화, 근력 약화","쇼그렌 증후군, 전신 홍반성 낭창, 류마티스 관절염",류마티스내과,"다발근육염,다발성근육염,소아피부근염,염증성 근병증,염증성 근육병증",18_333.jpg
1443,18,한센병(Leprosy),"눈물흘림, 발진, 안구혼탁, 결절, 피부염증","홍채염, 각막염",감염내과,"한센씨병,문둥병,나병",18_337.jpg
1445,18,핵황달(Kernicterus),"뇌전증 발작 , 황달, 근육강직, 반사 이상, 후궁반장","신생아 황달, 간경화",어린이병원,,18_339.jpg
1450,18,"헤르페스 바이러스 감염(Herpesviral infection)","물집, 피부염증","구순포진, 대상포진 후 신경통, 대상포진","감염내과, 피부과","단순포진,단순포진 바이러스,헤르페스,헤르페스 바이러스",18_344.jpg
1451,18,혈관부종(Angioedema),"호흡곤란, 사지 부종, 입 주변 부종, 눈 주변 부종, 얼굴부종, 복부경련, 목 주변 부종","아나필락시스, 알레르기 비염, 음식 알레르기, 약물 알레르기","응급의학과, 피부과, 알레르기내과, 소아천식아토피센터","거대 두드러기,급성알레르기성혈관부종,비알레르기성약물반응혈관부종,알러지성 혈관부종,알레르기성혈관부종,원발성혈관부종,유전성성혈관부종,혈관신경성부종",18_345.jpg
1452,18,혈관염(Vasculitis),"복부 통증, 열, 반점, 혈뇨, 위장관 출혈, 몸살, 관절통, 반상출혈, 흑색변, 점상 출혈","전신 홍반성 낭창, 류마티스 관절염, 폐색성 혈전 혈관염 , 자가면역 질환","신장내과, 혈관외과, 류마티스내과","거대세포 혈관염,과민성 혈관염,다발성 결절성 혈관염,혈관염증",18_346.jpg
1453,18,혈색소침착증(Hemochromatosis),,"윌슨병, 멘케스병","의학유전학센터, 의학유전학과","HHC,Hereditary hemochromatosis,유전성 혈색소증",18_347.jpg
1454,18,"혈소판 이상(Disorders of the platelets)","점상 출혈, 반상출혈, 출혈 경향성, 폐색전","면역혈소판감소증, 다발골수종, 용혈빈혈, 신부전",,,18_348.jpg
1455,18,혈우병(Hemophilia),,"본히펠린다우 증후군 , 가족성 적혈구잠식성 림프조직구증, 윌름즈 종양","혈액내과, 의학유전학센터, 의학유전학과","Classic hemophilia,Factor IX deficiency",18_349.jpg
1456,18,호모시스틴뇨증(Homocystinuria),,"단풍당밀뇨증, 페닐케톤뇨증","의학유전학센터, 소아내분비대사과, 소아신장과, 의학유전학과, 소아비뇨의학과",호모시스틴요증,18_350.jpg
1458,18,호중구감소증(Neutropenia),"잦은 감염, 오한, 설사, 구내염, 온몸이 떨림, 발적, 열, 작열감","골수증식종양, 재생불량빈혈, 범혈구감소증, 판코니범혈구감소증, 골수형성이상증후군","종양내과, 혈액내과, 소아청소년종양혈액과","과립구감소증,중성백혈구감소증",18_352.jpg
1459,18,"호지킨 림프종(Hodgkin lymphoma)","발한, 경부 림프절병증, 피부 긴장도 저하, 체중감소, 피부소양감","비호지킨 림프종, 림프종","종양내과, 혈액내과, 방사선종양학과, 소아청소년종양혈액과","림프 육아종증,호지킨 병",18_353.jpg
1460,18,"호흡성 산증(Respiratory Acidosis)","호흡곤란, 의식 변화, 지남력 장애, 불안, 발한, 피부홍조, 온몸이 떨림, 두통","천식, 만성 기관지염, 폐부종","호흡기내과, 응급의학과",호흡성산혈증,18_354.jpg
1461,18,"호흡성 알칼리증(Respiratory Alkalosis)","부정맥, 빈호흡, 경직, 어지러움, 실신","폐 혈전색전증, 폐렴, 과호흡 증후군",응급의학과,호흡성알칼리혈증,18_355.jpg
1464,18,홍역(Measles),"열, 기침, 림프 부종, 식욕부진, 피부소양감, 콧물, 코플릭 반점","백일해, 디프테리아",감염내과,rubeola,18_358.jpg
1465,18,화상(Burn),"의식 변화, 발적, 환부 통증, 호흡곤란, 물집, 감각 이상",흉터,"성형외과, 응급의학과, 피부과","전기화상,화학물질에 의한 화상,화학화상",18_359.jpg
1466,18,"화염상 모반(Nevus flammeus)",반점,"오타 모반, 색소 세포성 모반, 모반",피부과,"불꽃 모반",18_360.jpg
1467,18,"황열(Yellow fever)","구토, 근육통, 서맥, 복부 통증, 열, 무증상, 황달","핵황달, 서맥, 급성 신부전",감염내과,"황열 바이러스,황열병,황열병원체",18_361.jpg
1468,18,횡문근융해증(Rhabdomyolysis),"근육통, 근력 약화, 경직","통풍, 악성 고열증, 고칼륨혈증",신장내과,횡문근융해,18_362.jpg
1469,18,효모균증(Cryptococcosis),"가슴 통증, 열, 호흡곤란, 피부궤양, 두통, 경부 강직","후천성 면역결핍증","감염내과, 호흡기내과, 흉부외과",크립토콕쿠스증,18_363.jpg
1470,18,"후천성 면역결핍증(Acquired immunodeficiency syndrome)","악성종양발생, 발진, 림프 부종, 구토","폐렴, 카포시 육종",감염내과,"AIDS,에이즈,후천성 면역결핍 증후군,후천적 면역결핍",18_364.jpg
1471,18,흉터(Scar),"검붉은 색 피부 , 피부소양감, 상처가 넓어짐     , 상처보다 넓게 자람, 울퉁불퉁한 상처","여드름, 화상, 켈로이드","성형외과, 피부과",반흔,18_365.jpg
1472,18,"흑사병(Yersinia Pestis)","호흡곤란, 가슴 통증, 객혈, 열, 반점, 기침, 점상 출혈",털진드기병,감염내과,페스트,18_366.jpg
1473,18,"흡수장애 증후군(Malabsorption Syndrome)","체중감소, 설사, 복부팽만감","셀리악병, 소장암, 췌장염, 만성 췌장염, 담관암, 단장 증후군",소화기내과,,18_367.jpg
1474,18,히스토플라즈마증(Histoplasmosis),"오한, 호흡곤란, 열, 기침, 가슴 통증","면역결핍증, 후천성 면역결핍증, 만성 폐질환, 곰팡이 감염, 폐렴","감염내과, 호흡기내과",히스토플라스마증,18_368.jpg
1475,19,"RS바이러스 감염증(RS virus infection)","기침, 가래, 청색증, 코막힘, 열, 콧물, 빈호흡","급성 기관지염, 상기도 감염, 폐렴",감염내과,"RSV,RS바이러스,RS바이러스 감염,알에스바이러스,호흡기세포융합바이러스,호흡기세포융합바이러스 감염증",19_1.jpg
1477,19,"노화된 얼굴(Aging face)","볼, 눈주위 움푹 꺼짐, 코 옆과 입꼬리 주름, 눈가 및 이마 주름, 이중턱, 아래 눈꺼풀이 불룩함, 눈꺼풀 처짐증, 볼이 처짐","광선 각화증, 악성 흑색종, 비립종, 한관종",성형외과,"노안,늙은 얼굴,얼굴 노화",19_3.jpg
1478,19,"두경부암(Head and Neck Cancer)",,"구강암, 갑상선암, 편도암, 타액선암, 후두암, 비인두 종양","종양내과, 방사선종양학과, 성형외과, 이비인후과","구강암,부비동암,인두암,후두암,인후두암,혀암",19_4.jpg
1479,19,디프테리아(Diphtheritia),"기운없음, 기침, 빈맥, 콧물, 열, 목의 통증","해외여행 시 주의사항",감염내과,,19_5.jpg
1480,19,"만성 부비동염(Chronic rhinosinusitis)","안면통, 권태감, 화농성 비루, 후비루, 코막힘, 후각 감소","만성 비염, 천식, 알레르기 비염, 상기도 감염, 부비동염","이비인후과, 알레르기내과","만성 굴염,만성축농증",19_6.jpg
1482,19,"불만족스러운 코의 모양(flat nose, saddle nose, hump nose)",,"불만족스러운 코의 모양",성형외과,"납작코,안장코,매부리코",19_8.jpg
1483,19,"비 변형(Nose deformity)","코가 삐뚤어짐","구순열, 비중격 만곡","성형외과, 이비인후과","코의 변형,휜코,비 만곡증,코 만곡증",19_9.jpg
1484,19,"비부비동 종양(Sinonasal Tumor)","후각장애, 비출혈, 코막힘","비인두 종양, 부비동염",이비인후과,"비강암,부비동암,비강종물",19_10.jpg
1485,19,"비인두 종양(Nasopharyngeal tumor)","복시, 난청, 코막힘, 목 주변 부종, 환부 통증, 비출혈","림프종, 난청, 악성 흑색종, 복시, 삼차 신경병증, 삼출성 중이염","산부인과, 신경외과, 이비인후과, 소아내분비대사과, 소아신경외과","비인두암,인두암",19_11.jpg
1486,19,"비중격 만곡(Nasal septal deviation)","목의 이물감, 환부 통증, 기억장애, 구강호흡, 코골이, 코막힘, 산만함, 수면장애","만성 비염, 부비동염, 알레르기 비염",이비인후과,"비중격만곡증,편위된 코사이막",19_12.jpg
1490,19,"안면 비대칭(Facial asymmetry)","한쪽 입 꼬리의 상승, 광대뼈 위치 이상, 얼굴 중심선이 안맞음, 부정교합, 삐뚤어진 눈, 코, 입","두개 안면 부조화","성형외과, 치과","두상비대칭,얼굴비대칭,롬버그병",19_16.jpg
1491,19,"알레르기 비염(Allergic rhinitis)","후각장애, 콧물, 소양감, 코막힘, 재채기","만성 비염, 상기도 감염, 부비동염, 아토피성 피부염, 천식","이비인후과, 소아호흡기알레르기과, 알레르기내과","알러지비염,알러지성 비염,알레르기비염,알레르기성 비염",19_17.jpg
1492,19,인플루엔자(Influenza),"목의 통증, 열, 설사, 두통, 오한, 구토, 근육통","만성 폐쇄성 폐질환, 천식, 폐렴",노년내과,독감,19_18.jpg
1493,19,천식(Asthma),"가슴 답답, 기침, 호흡곤란, 가래, 천명음","아토피성 피부염, 만성 폐쇄성 폐질환, 만성 폐질환, 알레르기 비염","호흡기내과, 알레르기내과, 소아천식아토피센터","소아천식,운동유발성천식,직업성천식",19_19.jpg
1494,19,"칼만 증후군(Kallmann syndrome)","사춘기 지연, 성선 기능 저하증, 후각장애, 입술, 입천장의 기형, 색맹","희발월경, 원발성 월경곤란, 골다공증, 무월경, 구순열, 성선기능저하증, 색약","내분비내과, 신경외과, 의학유전학센터, 소아내분비대사과, 의학유전학과",칼만신드롬,19_20.jpg
1495,19,"후각장애, 미각장애(Anosmia, Hyposmia)",후각장애,"비용종, 알츠하이머병, 파킨슨병, 상기도 감염, 부비동염",,"후각저하증,미각저하증",19_21.jpg
1496,19,"후비루(Postnasal drip)","기침, 콧물, 목의 통증, 삼키기 곤란 , 환부의 분비물, 헛기침, 목의 이물감","편도선염, 비용종, 비중격 만곡, 상기도 감염, 부비동염, 만성 기침, 알레르기 비염","호흡기내과, 이비인후과, 알레르기내과",후비루증후군,19_22.jpg
1497,20,"VDT 증후군(Visual Display Terminal Syndrome)","어깨 움직임의 제한, 피로감, 손의 통증, 눈의 충혈, 어깨의 통증, 굽은 등, 두통, 눈의 피로, 저림","거북목 증후군, 만성 피로 증후군",정형외과,"VDT,VDT syndrome,VDT 신드롬,Visual Display Terminal Syndrome,영상 단말기 증후군",20_1.jpg
1498,20,각기병(Beriberi),"근력 약화, 체중감소, 권태감, 무감각, 식욕부진","알코올 의존성, 구루병",신경과,"각기병증,비타민 B1결핍증,비타민B1부족증,티아민결핍증",20_2.jpg
1499,20,"건 손상(Tendon injury)","발끝으로 설 수 없음, 손가락 운동장애, 발 굴곡 운동의 제한, 환부 통증","회전근개 증후군, 수부 외상",정형외과,"힘줄손상,힘줄파열",20_3.jpg
1500,20,건초염(Tenosynovitis),"환부 부종, 환부 통증, 근위축","아킬레스 건염, 주관절 외상과염, 방아쇠 수지, 내상과염",정형외과,"건막염,건초염증,활막염,활액막염",20_4.jpg
1501,20,결절종(Ganglion),"환부 통증, 덩어리가 만져짐",지방종,"성형외과, 정형외과","갱그리온,갱글리온",20_5.jpg
1502,20,골육종(Osteosarcoma),"덩어리가 만져짐, 뼈의 통증, 환부 통증","뼈의 신생물","종양내과, 방사선종양학과, 소아청소년종양혈액과, 정형외과","골암,골원성육종,뼈암",20_6.jpg
1504,20,관절염(Arthritis),"발적, 압통, 환부 부종, 뻣뻣함","슬관절 장애, 류마티스 관절염, 패혈성 관절염, 슬개건염, 강직성 척추염, 골관절염","재활의학과, 정형외과, 류마티스내과, 알레르기내과","Arthrosis,Osteo-arthrosis,골관절증,관절의 염증,관절증,뼈마디염",20_8.jpg
1505,20,"관절와순 파열(Labral tear)","어깨 잡음, 어깨의 통증, 어깨 움직임의 제한","재발성 견관절 전방 탈구, 동결견, 회전근개 증후군",정형외과,"슬랩,슬랩 병변,SLAP,상부관절와순 파열,관절와순 손상",20_9.jpg
